seat,probD_deluxe,probD_classic,probD_lite,probD_deluxe_minus_lite,probD_deluxe_minus_lite_abs
WI,0.66,0.75,0.49,0.17,0.17
NM,0.79,0.78,0.64,0.15,0.15
NE,0.01,0.01,0.14,-0.13,0.13
CO,0.96,0.91,0.85,0.11,0.11
FL,0.07,0.11,0.17,-0.1,0.1
TX,0.05,0.08,0.14,-0.09,0.09
MN,0.9,0.89,0.82,0.08,0.08
IL,0.97,0.96,0.9,0.07,0.07
AK,0.09,0.09,0.15,-0.06,0.06
HI,1.0,1.0,0.94,0.06,0.06
VT,0.02,0.02,0.07,-0.05,0.05
ME,0.82,0.83,0.77,0.05,0.05
AZ,0.55,0.6,0.6,-0.05,0.05
RI,0.96,0.96,0.91,0.05,0.05
OR,0.69,0.69,0.74,-0.05,0.05
IA,0.01,0.02,0.06,-0.05,0.05
OK,0.01,0.01,0.05,-0.04,0.04
GA,0.15,0.16,0.19,-0.04,0.04
AR,0.0,0.0,0.04,-0.04,0.04
MD,0.96,0.95,0.93,0.03,0.03
AL,0.0,0.0,0.02,-0.02,0.02
MI,0.92,0.95,0.94,-0.02,0.02
OH,0.02,0.03,0.04,-0.02,0.02
PA,0.84,0.86,0.86,-0.02,0.02
SC,0.02,0.03,0.04,-0.02,0.02
TN,0.0,0.0,0.02,-0.02,0.02
KS,0.53,0.57,0.54,-0.01,0.01
ID,0.0,0.0,0.01,-0.01,0.01
NH,0.0,0.0,0.01,-0.01,0.01
CA,1.0,1.0,0.99,0.01,0.01
SD,0.0,0.0,0.01,-0.01,0.01
MA,1.0,1.0,1.0,0.0,0.0
NV,0.62,0.67,0.62,0.0,0.0
NY,0.99,0.99,0.99,0.0,0.0
CT,0.92,0.86,0.92,0.0,0.0
WY,0.0,0.0,0.0,0.0,0.0
