pollsterName,pollsterRating,sponsors,population,partisan,demPre,repPre,pollsPre,marginPre,demPost,repPost,pollsPost,marginPost,demChange,repChange,marginChange
Beacon Research/Shaw & Company Research,A,FOX News,RV,,42.0,45.5,4,-3.5,42.0,44.0,3,-2.0,0.0,-1.5,1.5
Big Village,B,,A,,38.5,36.8,9,1.7,39.9,37.2,8,2.7,1.4,0.4,1.0
Big Village,B,,RV,,44.0,42.5,9,1.5,45.2,42.0,8,3.2,1.2,-0.5,1.7
Cor Services,Unrated,Foundation for Government Accountability,LV,,42.0,43.0,1,-1.0,42.0,46.0,1,-4.0,0.0,3.0,-3.0
Cygnal,B+,,LV,,45.2,47.1,3,-1.9,45.9,47.6,4,-1.7,0.7,0.5,0.2
Echelon Insights,B/C,,LV,,45.0,46.0,2,-1.0,47.0,44.8,4,2.2,2.0,-1.2,3.2
Echelon Insights,B/C,,RV,,45.5,43.8,4,1.7,48.0,43.0,4,5.0,2.5,-0.8,3.3
Echelon Insights,B/C,NetChoice,RV,,43.0,44.0,1,-1.0,45.0,46.0,1,-1.0,2.0,2.0,0.0
Emerson College,A-,,RV,,41.3,47.9,3,-6.6,43.2,45.1,4,-1.9,1.9,-2.8,4.7
"Fabrizio, Lee & Associates/Impact Research",Unrated,Wall Street Journal,RV,,41.0,46.0,1,-5.0,47.0,44.0,1,3.0,6.0,-2.0,8.0
Harris Poll,B+,Harvard CAPS,RV,,48.2,51.8,4,-3.6,49.7,50.3,3,-0.6,1.5,-1.5,3.0
Hart Research Associates/Public Opinion Strategies,B+,NBC News,RV,,47.0,46.0,1,1.0,45.0,47.0,1,-2.0,-2.0,1.0,-3.0
InsiderAdvantage,B,Center for American Greatness,LV,,40.3,49.3,3,-9.0,43.0,47.5,2,-4.5,2.7,-1.8,4.5
Ipsos,B-,FiveThirtyEight,A,,27.0,29.0,1,-2.0,28.7,29.3,3,-0.6,1.7,0.3,1.4
Ipsos,B-,Reuters,A,,42.0,34.0,1,8.0,36.0,35.0,3,1.0,-6.0,1.0,-7.0
Marist College,A,NPR | PBS NewsHour,RV,,44.0,47.0,1,-3.0,48.0,41.0,1,7.0,4.0,-6.0,10.0
McLaughlin & Associates,C/D,,LV,,43.8,47.8,4,-4.0,44.5,46.5,2,-2.0,0.7,-1.3,2.0
Monmouth University,A,,A,,44.3,47.7,3,-3.4,48.5,45.0,2,3.5,4.2,-2.7,6.9
Monmouth University,A,,RV,,44.0,49.0,3,-5.0,47.5,47.0,2,0.5,3.5,-2.0,5.5
Morning Consult,B,Politico,RV,,42.6,42.0,19,0.6,44.8,41.9,14,2.9,2.2,-0.1,2.3
NewsNation,Unrated,,RV,,39.4,42.2,4,-2.8,42.4,43.4,4,-1.0,3.0,1.2,1.8
OnMessage,B/C,Senate Opportunity Fund,LV,REP,43.5,45.5,6,-2.0,43.0,46.5,4,-3.5,-0.5,1.0,-1.5
Pew Research Center,B/C,,RV,,43.0,43.0,1,0.0,44.0,42.0,1,2.0,1.0,-1.0,2.0
Public Opinion Strategies,A-,Americans for Prosperity,RV,REP,49.0,51.0,1,-2.0,42.0,39.0,1,3.0,-7.0,-12.0,5.0
Quinnipiac University,A-,,A,,42.0,44.0,4,-2.0,42.8,44.2,4,-1.4,0.8,0.2,0.6
Quinnipiac University,A-,,RV,,43.0,45.5,4,-2.5,44.0,45.0,4,-1.0,1.0,-0.5,1.5
Rasmussen Reports/Pulse Opinion Research,B,Miranda Devine's LAPTOP FROM HELL,LV,,38.3,49.0,3,-10.7,40.6,47.1,14,-6.5,2.3,-1.9,4.2
SSRS,C,CNN,RV,,43.0,46.0,3,-3.0,46.0,46.0,1,0.0,3.0,0.0,3.0
Suffolk University,B+,USA Today,RV,,38.9,37.3,1,1.6,42.2,39.8,2,2.4,3.3,2.5,0.8
The Bullfinch Group,Unrated,,A,,39.0,40.0,1,-1.0,43.0,41.5,2,1.5,4.0,1.5,2.5
The Bullfinch Group,Unrated,,RV,,41.0,42.0,1,-1.0,44.5,43.0,2,1.5,3.5,1.0,2.5
The Winston Group,A/B,Winning the Issues,RV,REP,44.0,45.0,4,-1.0,45.5,43.0,2,2.5,1.5,-2.0,3.5
Trafalgar Group,A-,,LV,REP,40.9,51.8,2,-10.9,40.8,48.0,4,-7.2,-0.1,-3.8,3.7
YouGov,B+,Economist,RV,,43.0,38.9,18,4.1,43.0,41.2,16,1.8,0.0,2.3,-2.3
YouGov,B+,Yahoo News,A,,36.4,33.4,5,3.0,38.2,33.2,6,5.0,1.8,-0.2,2.0
YouGov,B+,Yahoo News,RV,,43.0,39.4,5,3.6,43.8,38.7,6,5.1,0.8,-0.7,1.5
Zogby Analytics,B-,,LV,,43.7,41.9,1,1.8,44.8,44.3,1,0.5,1.1,2.4,-1.3
